Agent Name,Latitude,longitude
Tusar Electronics,22.74887,89.68112
Sathe Store,22.6579,89.77002
Zohra Mobile,22.77442,89.71553
M/S Mintu Enterprise,22.6579,89.77002
Khan Telecom,22.45358,89.85153
Sujon Telecom,22.6579,89.77002
M/S Akram Traders,25.26384,87.22686
M/Srojin Pharmacy,22.57244,89.95683
Mayar Dowa Cosmetics And Varieties,22.4645,89.91817
Shorna Jhorna Telecom Center,22.57244,89.95683
Hasan Telecom,22.46764,89.66756
Faiza Telecom,22.77442,89.71553
City Talicome And Mobile Servicing,22.46486,89.85643
Juel Store,22.68844,89.80094
Kazi Telecom,22.69637,89.75962
Suman Telecom,22.79184,89.87692
MAA ENTERPRISE,22.31333,89.84862
Dolan Enterprise,22.69637,89.75962
HARUN MOTORS,22.69637,89.75962
Ma Moni Counter,22.57244,89.95683
Appel Store,22.88987,89.77417
Sulove Store,22.69637,89.75962
JEWEL TELECOM,22.77442,89.71553
Roni Telecom,22.77442,89.71553
Nayeem Store,22.57244,89.95683
Mamun Store,22.65836,89.77065
Sayed Store,23.29797,88.68917
Orni Store,22.69637,89.75962
RAKIB STORE,22.31333,89.84862
Mobile Care,22.77442,89.71553
Gobindo Bostraloy,22.6579,89.77002
M/S G M BROTHERS FILLING STATION,22.77442,89.71553
M/S Amit Telecom,22.60014,89.91352
M/S Jahidul Store,22.53288,89.59026
BAPPI COMPUTER,22.35144,89.81963
TALUKDER TRADERS,22.57244,89.95683
Joy Varieties Store,22.6579,89.77002
Hanif Telecom,22.57244,89.95683
SUBROTO STORE,22.70814,89.81608
MA ENTERPRISE,22.6579,89.77002
SHAWON ENTERPRISE,22.79184,89.87692
OLIYAR STORE,22.53495,89.86802
Ra Shoe Motors,22.6579,89.77002
Howlader Store,22.5262,89.65318
JUWEL TELECOM,22.72263,89.74719
S S Telecom,22.61471,89.8519
M/S Electric And Telecom,22.57244,89.95683
Parents Computer Center,22.53418,89.86831
Palash Enterprise,22.69637,89.75962
RONI VARIETY STORE,22.69637,89.75962
M/S MAMUN AND MOHIUDDIN ENTERPRISE,22.6579,89.77002
Alim Store,22.47071,89.60319
Jubayor Telecom,22.53288,89.59026
